Rank,BGG ID,Title,Rating,Voters,Published,PlayingTime,MinPlayers,MaxPlayers,Designer,Categories,Mechanics,Expansions,PlayerAge,NumPlayers,Language
143,83330,Mansions of Madness,7.252,7699,2011,120,2,5,,Fantasy,Area Movement,8,14,5,4: Unplayable
144,147949,One Night Ultimate Werewolf,7.248,3259,2014,10,3,10,,Card Game,Role Playing,1,10,7,1: Need crib
145,136063,Forbidden Desert,7.246,5917,2013,45,2,5,,,Action Point Allowance System,1,8,4,2: Possible
146,13,Catan,7.239,50499,1995,90,3,4,Klaus Teuber,,Dice Rolling,63,8,4,2: Possible
147,100901,Flash Point: Fire Rescue,7.237,8109,2011,45,1,6,,,Action Point Allowance System,15,8,4,2: Possible
148,55670,Macao,7.236,4819,2009,90,2,4,,Dice,Action Point Allowance System,0,12,3,3: Too much
149,54,Tikal,7.236,11406,1999,120,2,4,Wolfgang Kramer,,Action Point Allowance System,1,10,4,1: Need crib
150,9217,Saint Petersburg,7.233,10889,2004,45,2,4,,Card Game,Card Drafting,2,10,4,1: Need crib
151,18833,Lord of the Rings: The Confrontation (Deluxe Edition),7.232,3500,2005,30,2,2,Reiner Knizia,Fantasy,Area Movement,1,8,2,3: Too much
152,21348,Ticket to Ride: MÃ_rklin,7.232,6658,2006,45,2,5,Alan R. Moon,,Card Drafting,45,8,4,1: Need crib
153,113924,Zombicide,7.232,6331,2012,60,1,6,,,Action Point Allowance System,64,10,3,2: Possible
154,19777,Indonesia,7.23,2170,2005,240,2,5,,Economic,Area Control / Area Influence,0,16,4,2: Possible
155,146652,Legendary Encounters: An Alien Deck Building Game,7.229,1423,2014,45,1,5,,Card Game,Co-operative Play,0,14,3,3: Too much
156,40354,Maria,7.229,1424,2009,210,2,3,,Wargame,Hand Management,1,12,3,2: Possible
157,17226,Descent: Journeys in the Dark,7.227,9414,2005,240,2,5,,Fantasy,Dice Rolling,11,12,5,4: Unplayable
